地区,2018年,2017年,2016年,2015年,2014年,2013年,2012年,2011年,2010年,2009年
北京,,144513.88,96119.41,137627.14,150955.14,166329.12,177493.41,188324.89,,
天津,,142264.98,144748.63,246800.02,282300,311719.26,334222.59,358900,,
河北,,1056049.38,1126640.12,1350808.34,1512468.92,1652467.63,1761109.58,1801138.33,,
山西,,521043.26,672788.49,930750.79,1069859.77,1157804.22,1243969.91,1286019.27,,
内蒙古,,505458.1,645342.48,1139013.23,1258281.03,1377573.1,1418897.36,1421896.56,,
辽宁,,605056.07,615261.82,828123.64,901964.07,955381.4,1036321.95,1062816.92,,
吉林,,255357.84,300719.35,501664,549246.84,560518.74,575851.78,604716,,
黑龙江,,409592.56,539680.52,644811.4,730584.86,751588.31,780611.37,783753.04,,
上海,,193940.52,166315.02,300621.06,332790.47,380354.61,401617.86,435400.1,,
江苏,,907221.85,930324.82,1067642.49,1232552.49,1338040.44,1479608.69,1535740.1,,
浙江,,432027.22,380399.4,607699.72,687850.05,752976.23,808848.79,859050.64,,
安徽,,490013.15,507615.04,721008.59,807304.79,863668.62,921267.88,959113.57,,
福建,,277164.78,261835.16,379021.84,411661.5,438344.09,467210.98,494507,,
江西,,355444.66,419267.36,492693.36,540114.93,570408.06,577095.16,612341.1,,
山东,,1158620.85,1229382.73,1423884.03,1593310.72,1651327.58,1738973.3,1790252.61,,
河南,,662892.13,808283.59,1262371.87,1422013.46,1565643.4,1625897.69,1665363.29,,
湖北,,376728.74,391368.4,514460.61,580221.62,612392.26,640007.89,669649.9,,
湖南,,364658.84,420639.71,496928.11,552773.06,588160.68,607213.8,666368.32,,
广东,,829703.21,842660.56,996899.19,1122111.74,1204239.38,1303428.77,1388220.35,,
广西,,345589.86,302900.23,373435.2,442398.76,504306.91,498255.64,494007.65,,
海南,,60132.01,62002.8,89518.24,95001.9,100248.59,103392.33,95385.19,,
重庆,,203954.91,217722.28,320717.13,355017.97,362042.51,382670.54,402621.01,,
四川,,457598.3,450976.76,525880.33,585438.61,624313.95,659004.69,674853.2,,
贵州,,359669.21,377893.34,419137.2,491070.7,557292.49,563538.7,553185.55,,
云南,,268834.32,446935.45,449365.61,498879.94,523672.47,544346.3,548517.77,,
西藏,,30153.52,55227,52727.45,48343.52,44327.6,44307.9,40622.53,,
陕西,,339803.18,380300.52,627366.16,705755.99,758897.78,808128.82,831749.33,,
甘肃,,212543.63,257994.38,387271.54,418399.8,442925.65,473381.8,480855.11,,
青海,,72284.75,94163.23,117855,134518.07,132256.1,126058.73,124115.63,,
宁夏,,161653.66,197840.26,367633.87,404032.35,437439.67,455404.94,458170.19,,
新疆,,388354.26,599760.65,736504.76,862792.27,886926.57,819477.3,755089.75,,
